2025-02-18 00:52:53,782 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=14&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,793 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=13&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,793 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=13&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,817 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=13&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,817 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=13&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,909 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=13&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,909 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=13&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,345 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=14&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,345 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=14&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,417 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=13&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,417 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=13&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,443 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=15&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,443 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=15&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,469 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/weather?lat=32.508284715079526&lon=-93.7285041648043 HTTP/1.1" 200 -
2025-02-18 00:52:54,469 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/weather?lat=32.508284715079526&lon=-93.7285041648043 HTTP/1.1" 200 -
2025-02-18 00:52:54,553 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=16&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,553 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=16&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,818 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=17&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,818 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=17&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,977 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=17&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:54,977 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:54] "GET /api/meteosource/tile?x=17&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,080 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=17&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,080 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=17&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,219 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=17&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,219 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=17&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,250 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=12&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,250 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=12&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,380 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=12&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:55,380 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:55] "GET /api/meteosource/tile?x=12&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,215 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=12&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,227 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=12&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,319 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=18&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
